N,P,K,temperature,humidity,ph,rainfall,label,previous_week_avg,previous_month_avg,daily_price,price_change_percentage
90,42,43,20.87974371,82.00274423,6.502985292,202.9355362,rice,1700.84,4917.15,1604.77,-5.65
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice,1753.09,4870.83,1587.35,-9.45
60,55,44,23.00445915,82.3207629,7.840207144,263.9642476,rice,1843,4962.2,2086,13.19
74,35,40,26.49109635,80.15836264,6.980400905,242.8640342,rice,1828.05,4891.3,2059.41,12.66
78,42,42,20.13017482,81.60487287,7.628472891,262.7173405,rice,1666.78,4730.54,1439.38,-13.64
69,37,42,23.05804872,83.37011772,7.073453503,251.0549998,rice,1714.15,4807.61,1596.57,-6.86
69,55,38,22.70883798,82.63941394,5.70080568,271.3248604,rice,1814.83,4794.84,1695.56,-6.57
94,53,40,20.27774362,82.89408619,5.718627178,241.9741949,rice,1757.62,4708.51,1916.96,9.07
89,54,38,24.51588066,83.5352163,6.685346424,230.4462359,rice,1663.99,5046.9,1799.89,8.17
68,58,38,23.22397386,83.03322691,6.336253525,221.2091958,rice,1688.82,4654.35,1848.65,9.46
91,53,40,26.52723513,81.41753846,5.386167788,264.6148697,rice,1790.45,4943.75,1936.16,8.14
90,46,42,23.97898217,81.45061596,7.50283396,250.0832336,rice,1663.89,4795.53,1472.14,-11.52
78,58,44,26.80079604,80.88684822,5.108681786,284.4364567,rice,1821.7,4901.46,1729.28,-5.07
93,56,36,24.01497622,82.05687182,6.98435366,185.2773389,rice,1661.79,4776.54,1574.64,-5.24
94,50,37,25.66585205,80.66385045,6.94801983,209.5869708,rice,1795,4907.17,2003.51,11.62
60,48,39,24.28209415,80.30025587,7.042299069,231.0863347,rice,1743.52,4699.98,1855.06,6.4
85,38,41,21.58711777,82.7883708,6.249050656,276.6552459,rice,1801.24,4876.65,1947.66,8.13
91,35,39,23.79391957,80.41817957,6.970859754,206.2611855,rice,1747.84,4861.24,1709.85,-2.17
77,38,36,21.8652524,80.1923008,5.953933276,224.5550169,rice,1654.16,4695.3,1421.63,-14.06
88,35,40,23.57943626,83.58760316,5.85393208,291.2986618,rice,1776.36,4777.89,1780.93,0.26
89,45,36,21.32504158,80.47476396,6.442475375,185.4974732,rice,1830.59,4751.86,1781.37,-2.69
76,40,43,25.15745531,83.11713476,5.070175667,231.3843163,rice,1800.19,4743.66,1571.74,-12.69
67,59,41,21.94766735,80.97384195,6.012632591,213.3560921,rice,1707.03,4716.63,1927.08,12.89
83,41,43,21.0525355,82.67839517,6.254028451,233.1075816,rice,1810.7,4905.5,2012.48,11.14
98,47,37,23.48381344,81.33265073,7.375482851,224.0581164,rice,1809.81,4726.77,2022.95,11.78
66,53,41,25.0756354,80.52389148,7.778915154,257.0038865,rice,1756.95,4975.12,1965.72,11.88
97,59,43,26.35927159,84.04403589,6.286500176,271.3586137,rice,1712.68,4696.16,1572.89,-8.16
97,50,41,24.52922681,80.54498576,7.070959995,260.2634026,rice,1734.5,4979.35,1922.21,10.82
60,49,44,20.77576147,84.49774397,6.244841491,240.0810647,rice,1650.47,4856.44,1609.58,-2.48
84,51,35,22.30157427,80.64416466,6.043304899,197.9791215,rice,1693.5,4700.09,1611,-4.87
73,57,41,21.44653958,84.94375962,5.824709117,272.2017204,rice,1837.66,4781.42,1848.02,0.56
92,35,40,22.17931888,80.33127223,6.357389366,200.0882787,rice,1789.68,4797.59,2042.98,14.15
85,37,39,24.52783742,82.73685569,6.364134968,224.6757231,rice,1841.57,4752.86,1840.05,-0.08
98,53,38,20.26707606,81.63895217,5.01450727,270.4417274,rice,1709.26,4766.08,1471.79,-13.89
88,54,44,25.7354293,83.88266234,6.149410611,233.1321372,rice,1770.99,4853.21,1532.69,-13.46
95,55,42,26.79533926,82.1480873,5.950660556,193.3473987,rice,1704.81,5015.45,1571.61,-7.81
99,57,35,26.75754171,81.17734011,5.960370061,272.2999056,rice,1678.06,4847.92,1922.55,14.57
95,39,36,23.86330467,83.15250801,5.561398642,285.2493645,rice,1697.49,4921,1830.72,7.85
60,43,44,21.01944696,82.95221726,7.416245107,298.4018471,rice,1696.61,4943.43,1629.31,-3.97
63,44,41,24.17298839,83.7287574,5.583370042,257.0343554,rice,1775.54,4905.55,1794.6,1.07
62,42,36,22.78133816,82.06719137,6.430010215,248.7183228,rice,1667.14,4986.26,1577.5,-5.38
64,45,43,25.62980105,83.52842314,5.534878156,209.9001977,rice,1686.38,4668.45,1732.36,2.73
83,60,36,25.59704938,80.14509262,6.903985986,200.834898,rice,1784.59,4658.78,1791.06,0.36
82,40,40,23.83067496,84.81360127,6.271478838,298.5601175,rice,1694.38,4910.21,1528.86,-9.77
85,52,45,26.31355498,82.36698992,7.224285503,265.5355937,rice,1787.27,4806.84,2021.44,13.1
91,35,38,24.8972823,80.52586088,6.13428721,183.6793207,rice,1676.58,4788.57,1482.17,-11.6
76,49,42,24.958779,84.47963372,5.206373153,196.9560008,rice,1834.02,5003.08,1700.84,-7.26
74,39,38,23.24113501,84.59201843,7.782051313,233.0453455,rice,1781.08,4979.03,1810.58,1.66
79,43,39,21.66628296,80.70960551,7.062779015,210.8142087,rice,1755.01,4748.88,1540.78,-12.21
88,55,45,24.63544858,80.41363018,7.730367824,253.7202781,rice,1828.52,5012.31,1901.53,3.99
60,36,43,23.43121862,83.06310136,5.286203711,219.9048349,rice,1716.89,4791.83,1833.27,6.78
76,60,39,20.0454142,80.3477562,6.766240045,208.5810155,rice,1828.5,5006.98,1982.03,8.4
93,56,42,23.85724032,82.22572988,7.382762603,195.0948311,rice,1777.49,4685.8,1597.05,-10.15
65,60,43,21.97199397,81.89918197,5.658169482,227.3637009,rice,1828.79,4894.71,1559.52,-14.72
95,52,36,26.22916897,83.83625819,5.543360238,286.5083725,rice,1669.37,4917.54,1421.5,-14.85
75,38,39,23.44676801,84.79352417,6.215109715,283.9338466,rice,1681.24,4871.64,1778.03,5.76
74,54,38,25.65553461,83.47021081,7.120272972,217.3788583,rice,1779.47,4741.85,1892.74,6.37
91,36,45,24.44345477,82.45432595,5.950647577,267.9761948,rice,1696.53,4782.3,1821.98,7.39
71,46,40,20.2801937,82.1235421,7.236705436,191.9535738,rice,1779.01,4991.83,1863.13,4.73
99,55,35,21.7238313,80.2389895,6.501697816,277.9626192,rice,1762.74,4689.61,1692.79,-3.97
72,40,38,20.41447029,82.20802629,7.592490617,245.1511304,rice,1702.12,4749.74,1943.66,14.19
